District,Total Pop,Median Age,Aggregate Income,Per Capita Income,Pop 3+,Enrolled,Percent,Total Household,Married Household,Single Parent Household,Single Household,Pop 25+,<HS,HS Grad,Some College,BS/BA +,Total Pop,Civilian Labor Force,LPFR,Employed Civilians,Unemployment Rate
A1,41260,32.5,2887442800,69981.64809,39964,9413,0.235536983,16727,5021,1035,14920,31071,3127,2321,2924,22699,38392,27315,0.711476349,25972,0.049167124
A7,44989,34,1127158600,25054.09322,43281,9565,0.220997666,15820,4941,4280,6599,31457,10114,9744,5150,6449,36767,27731,0.754236136,25235,0.090007573
A15,18058,34,1084181400,60038.84151,17127,3455,0.201728265,8457,2712,1219,4526,13489,1213,2147,1762,8367,14635,11089,0.757704134,10422,0.060149698
B2,67952,30.5,1216415100,17901.09342,65714,25502,0.3880756,25030,4067,8901,12062,38834,8985,10491,9066,10292,55735,32758,0.587745582,28628,0.126076073
B3,24268,38,488453600,20127.47651,23541,6241,0.265111932,8599,2194,3661,2744,16857,3588,5675,4890,2704,19724,13590,0.689008315,11544,0.150551876
C6,38522,33,1933544000,50193.24023,37625,6381,0.169594684,17449,3858,3135,10456,30255,2986,5753,3982,17534,33937,25625,0.755075581,24180,0.056390244
C11,124489,33,3029145900,24332.63903,119890,34148,0.284827759,43292,11338,15467,16487,82028,17202,24991,19632,20203,98987,68092,0.687888309,59527,0.125785702
D4,86621,28,2399536100,27701.55159,85032,37920,0.44594976,37065,8410,2732,25923,51303,4137,4472,5493,37201,81205,51892,0.639024691,48149,0.072130579
D14,67529,29,1972683200,29212.38579,66022,27583,0.417784981,26935,5861,2211,18863,40968,3789,5911,5818,25450,62658,40265,0.642615468,37715,0.063330436
E5,61440,40.5,2377666300,38698.99577,58725,14177,0.241413367,24474,9972,5276,9226,44981,3888,10134,9637,21322,49878,35503,0.711796784,33009,0.070247585
E13,39240,33,1626508200,41450.25994,37718,9408,0.24942998,15853,5298,2651,7904,28866,2335,4338,3947,18246,33118,24824,0.749562172,23288,0.061875604
E18,35585,38,1020667200,28682.51229,34619,10599,0.306161356,12344,4768,3806,3770,24120,2823,7664,7387,6246,28462,19581,0.687969925,17771,0.092436546